Category,License,Dependency,Notes
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),com.typesafe.netty # netty-reactive-streams # 2.0.0,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.parboiled # parboiled-core # 1.1.7,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.parboiled # parboiled-java # 1.1.7,
Apache,Apache 2 (http://www.apache.org/licenses/LICENSE-2.0.txt),org.pegdown # pegdown # 1.6.0,
Apache,Apache 2.0 License (http://www.apache.org/licenses/LICENSE-2.0.txt),de.sciss # syntaxpane # 1.2.0,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.asynchttpclient # async-http-client # 2.8.1,
Apache,Apache License 2.0 (http://www.apache.org/licenses/LICENSE-2.0.html),org.asynchttpclient # async-http-client-netty-utils # 2.8.1,
Apache,Apache License v2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),net.java.dev.jna # jna # 5.6.0,
Apache,Apache License v2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt),net.java.dev.jna # jna-platform # 5.6.0,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",com.jhlabs # filters # 2.0.235,
Apache,"Apache License, Version 2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt)",de.sciss # bdb-je # 7.5.11,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-buffer # 4.1.33.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-codec # 4.1.33.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-codec-dns # 4.1.33.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-codec-http # 4.1.33.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-codec-socks # 4.1.33.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-common # 4.1.33.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-handler # 4.1.33.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-handler-proxy # 4.1.33.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-resolver # 4.1.33.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-resolver-dns # 4.1.33.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-transport # 4.1.33.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-transport-native-epoll # 4.1.33.Final,
Apache,"Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0)",io.netty # netty-transport-native-unix-common # 4.1.33.Final,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),com.typesafe # config # 1.4.0,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.txt),com.typesafe # ssl-config-core_2.13 # 0.4.2,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.akka # akka-actor_2.13 # 2.6.15,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.akka # akka-protobuf-v3_2.13 # 2.6.15,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.akka # akka-stream-testkit_2.13 # 2.6.15,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.akka # akka-stream_2.13 # 2.6.15,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0.html),com.typesafe.akka # akka-testkit_2.13 # 2.6.15,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.json4s # json4s-ast_2.13 # 3.6.6,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.json4s # json4s-core_2.13 # 3.6.6,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.json4s # json4s-native_2.13 # 3.6.6,
Apache,Apache-2.0 (http://www.apache.org/licenses/LICENSE-2.0),org.json4s # json4s-scalap_2.13 # 3.6.6,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang # scala-compiler # 2.13.6,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang # scala-library # 2.13.6,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang # scala-reflect # 2.13.6,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang.modules # scala-java8-compat_2.13 # 0.9.0,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang.modules # scala-parser-combinators_2.13 # 1.1.2,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang.modules # scala-swing_2.13 # 3.0.0,
Apache,Apache-2.0 (https://www.apache.org/licenses/LICENSE-2.0),org.scala-lang.modules # scala-xml_2.13 # 1.3.0,
Apache,"The Apache License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)",net.harawata # appdirs # 1.2.1,
BSD,BSD (LICENSE.txt),com.thoughtworks.paranamer # paranamer # 2.8,
BSD,BSD (https://raw.github.com/Sciss/ScalaColliderUGens/main/spec/LICENSE),de.sciss # scalacolliderugens-spec # 1.21.1,
BSD,BSD (http://asm.objectweb.org/license.html),org.ow2.asm # asm # 5.0.3,
BSD,BSD (http://asm.objectweb.org/license.html),org.ow2.asm # asm-analysis # 5.0.3,
BSD,BSD (http://asm.objectweb.org/license.html),org.ow2.asm # asm-tree # 5.0.3,
BSD,BSD (http://asm.objectweb.org/license.html),org.ow2.asm # asm-util # 5.0.3,
BSD,BSD 2-Clause (http://opensource.org/licenses/BSD-2-Clause),de.sciss # transform4s_2.13 # 0.1.1,
BSD,"BSD 3-Clause ""New"" or ""Revised"" License (https://spdx.org/licenses/BSD-3-Clause)",org.scala-stm # scala-stm_2.13 # 0.11.1,
BSD,BSD License (https://opensource.org/licenses/BSD-3-Clause),com.weblookandfeel # svg-salamander # 1.1.2.2,
BSD,BSD License (http://prefuse.org/license-prefuse.txt),de.sciss # prefuse-core # 1.0.1,
BSD,BSD style (http://x-stream.github.io/license.html),com.thoughtworks.xstream # xstream # 1.4.9,
BSD,BSD-style (https://raw.github.com/Sciss/IntensityPalette/main/LICENSE),de.sciss # intensitypalette # 1.0.2,
BSD,Modified BSD License (http://fifesoft.com/rsyntaxtextarea/RSyntaxTextArea.License.txt),com.fifesoft # rsyntaxtextarea # 2.6.1,
BSD,The BSD 3-Clause License (http://opensource.org/licenses/BSD-3-Clause),com.mortennobel # java-image-scaling # 0.8.6,
BSD,The BSD License (http://www.opensource.org/licenses/bsd-license.php),jline # jline # 2.14.6,
BSD,The BSD License (https://opensource.org/licenses/BSD-3-Clause),org.jline # jline # 3.19.0,
CC0,CC0 (http://creativecommons.org/publicdomain/zero/1.0/),org.reactivestreams # reactive-streams # 1.0.3,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # asyncfile_2.13 # 0.1.4,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # audiofile_2.13 # 2.3.3,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # fscape-core_2.13 # 3.7.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # fscape-lucre_2.13 # 3.7.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # fscape-views_2.13 # 3.7.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-adjunct_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-base_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-bdb_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-confluent_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-core_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-data_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-expr0_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-expr1_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-expr_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-geom_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-pi_2.13 # 1.5.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-swing_2.13 # 2.6.3,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-synth_2.13 # 4.8.0,
